NAME	CD4.memory.activated	Monocytes	CD4.memory.resting	NK.cells.resting	B.naive	Neutrophils	Macrophages.M2	Plasma	CD8.cells	T.cells.CD4.naive	B.memory	NK.activated	Eosinophils	T.cells.regulatory	T.cells.helper	Macrophages.M0	Macrophages.M1	Mast.activated	Dendritic.cells.resting	Dendritic.cells.activated	Mast.resting
AC027288.3	1	16.6457682178551	1	36.5706158559074	1	1	15.2950150677782	1	1	21.8070712854278	1	1	1	1	1	1	1	1	1	1	1
AC037487.1	1	1	1	19.5747055245416	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC044839.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	67.6512722418466
AC044849.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	34.225049830742	1	1	1	1	1	1
AC046185.3	1	1	1	1	1	1	1	1	1	29.6634825179	1	24.704001246743	1	1	1	1	1	1	1	1	1
AC063949.2	1	1	1	1	24.0340118522683	1	1	1	1	1	37.3771962682156	1	1	1	1	1	1	1	1	1	1
AC064805.1	1	20.3203066310716	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC067930.3	1	1	1	21.1846287276787	1	1	1	1	1	21.0197987395868	1	1	1	1	1	1	1	1	1	1	1
AC068473.3	1	31.749282768485	1	51.8314069819884	1	58.215699254174	1	1	1	54.5640639815521	1	1	22.2931182129581	1	1	1	30.349651543	17.1413206351333	1	1	1
AC068580.4	1	1	1	1	1	1	32.1082533943601	1	1	1	1	90.5098731436799	1	1	1	32.0299723513591	1	1	1	1	1
AC068946.1	1	1	1	1	1	1	1	1	1	1	1	36.9383603274587	1	1	1	1	1	1	1	1	1
AC069222.1	1	15.5557651351383	1	23.05181712212	1	1	1	1	1	31.2070454835784	1	18.3239969841557	26.1882595712309	1	1	1	1	1	1	1	1
AC069287.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	43.1975359903086
AC073082.1	1	18.1223779305953	1	19.701523785927	1	41.9671594856151	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC073111.5	1	1	1	1	38.5581873948822	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC073130.1	1	1	1	1	1	1	1	1	1	18.8751661105966	1	1	1	1	1	1	1	1	1	1	1
AC073335.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25.3946978254143	1	1	1
AC073508.3	1	15.9541416081695	34.8140102034977	28.0211206625905	46.518589211403	29.6209894113253	1	1	31.6930621332002	24.2446720533961	1	1	40.6414271744808	1	28.822691541755	1	1	1	1	1	1
AC073896.3	1	20.3191191609475	1	1	1	28.904429369646	1	1	1	27.9202425723255	1	1	1	1	1	1	1	1	1	1	1
AC074194.2	1	1	1	1	1	1	1	1	1	1	1	41.0273435360448	1	1	1	1	1	1	1	1	1
AC078795.1	1	1	1	1	1	1	1	1	1	1	1	1	26.8436901943564	1	1	1	1	1	1	1	1
AC078883.1	1	1	1	1	1	1	1	33.1315007799886	1	1	1	1	1	1	1	1	1	1	1	1	1
AC078925.3	1	1	1	1	31.7610193492753	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC079331.2	1	1	1	33.8841480836761	1	1	1	1	1	1	1	22.8979953875245	1	1	1	1	1	1	1	1	1
AC079336.5	1	15.8845043936168	1	1	1	29.480964862284	1	1	1	1	1	49.9680993015107	1	1	1	1	1	1	1	1	1
AC083799.1	31.3267303356699	1	1	1	1	97.8477087143144	20.2450840369637	1	1	1	1	1	1	1	1	18.0272244518358	1	18.4151054978149	1	1	82.5130283755995
AC083862.2	1	1	1	1	1	47.4993769939952	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC084033.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31.29632701957	1	1	1
AC087284.1	1	16.3788954404397	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17.3403957413726	1	1
AC087473.1	39.472859368919	20.3206380447171	1	46.2997442381274	45.1140038680831	32.5986794120792	1	1	1	61.6792236937679	1	1	1	1	1	1	51.5939944046533	30.3701638968037	1	1	38.3529101763384
AC087741.1	1	1	1	1	1	1	1	1	1	18.5812080581944	1	1	1	1	1	1	1	1	1	1	1
AC090152.1	1	1	1	35.0226649228283	1	1	1	1	1	1	1	49.9392061929252	1	1	1	1	1	1	1	1	1
AC090377.1	1	1	1	1	1	1	1	1	1	1	1	28.150778020232	1	1	1	1	1	1	1	1	1
AC090515.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20.4595179549654	15.2843820118169	1	1
AC090559.2	1	18.3126791456316	1	1	41.9824893584295	1	1	1	1	18.4341984448459	1	1	1	1	1	1	1	1	1	1	1
AC090616.7	1	1	1	21.3649595981948	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC090907.2	1	1	1	1	1	41.630259067181	1	1	1	1	1	1	1	1	1	1	29.7503091872215	1	1	1	1
AC090948.1	1	1	1	1	1	1	1	1	1	19.9203833923892	1	1	1	1	1	1	1	1	1	1	1
