NAME	CD8.cells	T.cells.regulatory	Myeloid.cells	CD4.cells	NK.cells	B.cells	Mural.cells	Endothelial	Fibroblasts	Plasma	T.cells.helper	Cancer	T.cells.proliferative	Mast.cells
ACSL1	1	15.8533512852238	116.453997336031	1	1	36.3636489258523	1	1	1	1	1	17.4524670576864	28.7233775346388	11.5707726429105
ACSL4	19.086014277241	35.7356881894173	49.8059567361189	1	16.143006216963	19.3354917386619	20.8062428158851	19.7210903264612	25.7609189628073	23.0938595600987	23.6496259296968	1	45.8796896295505	432.340960752628
ACSL6	1	1	1	15.078488307096	1	1	1	1	1	1	1	1	1	1
ACTA2	1	22.9053374732699	1	1	23.818522243387	1	1772.68215730443	1	624.921461723115	1	18.6351853267843	14.8281277942269	14.6933246079196	1
ACTG2	1	1	1	1	1	1	147.982472445019	1	29.6531642139187	1	1	1	1	1
ACTN1	1	1	98.3602122833789	1	1	1	276.963817979855	45.4970273486245	215.532796003268	1	1	49.5973184305677	1	1
ACVR1B	1	1	1	1	1	1	13.7298097626024	1	1	1	1	26.2040077202489	1	30.0245329715278
ACVRL1	1	1	1	1	1	1	28.088417621588	449.750521282128	20.4153459365657	1	1	1	1	1
ADA2	30.5840521269078	1	118.564577973272	32.0548752443497	25.3872142533828	19.3255069337377	1	1	1	168.938054804373	22.8005843650541	1	29.2470368806253	1
ADAM12	1	1	1	1	1	1	1	1	18.3547280169472	1	1	1	1	106.272694622525
ADAM19	16.1912874390431	17.2248079750747	31.9021671600832	38.5927609417236	1	31.3107577436721	1	1	1	36.1465203369973	58.9460123861712	1	28.4152750899645	1
ADAM28	1	1	61.2949149038779	1	1	441.859004192157	1	1	1	99.3321195815485	1	1	25.1544418254738	1
ADAMTS1	1	1	1	1	16.0425857769553	1	291.554641182633	68.5487342497151	97.6807717126522	1	1	14.8912789189381	1	1
ADAMTS4	1	1	1	1	1	1	99.1162543999017	34.6338596627463	22.0193507568774	1	1	1	1	1
ADAMTS7	1	1	1	1	1	1	1	24.1494296837441	1	1	1	1	1	31.8533404181182
ADAMTS9	1	1	1	1	1	1	39.7912761234265	67.9453258717409	1	1	1	1	1	1
ADAMTS9-AS2	1	1	1	1	1	1	65.2161877693476	1	23.2402917013657	1	1	1	1	1
ADAMTSL3	1	1	1	1	1	1	52.4487292745798	1	1	1	1	1	1	1
ADAMTSL4	1	1	46.3966110775412	1	1	1	1	1	13.4878835768873	1	1	1	1	1
ADAP1	1	1	16.4549420462231	1	29.0163444644071	1	1	1	1	1	1	26.4781191369988	1	18.8002436989706
ADAP2	1	1	75.2721247907843	1	1	1	63.6797675857855	1	1	1	1	1	1	1
ADARB1	1	1	1	18.8123042031407	1	1	12.0849072667589	35.6075463282247	53.5700457300929	1	1	1	1	14.7760788975832
ADAT1	16.4987503345892	1	1	1	14.4124509103539	1	1	1	1	1	1	10.9971419247807	1	1
ADAT2	1	48.6105613089837	12.2045392686608	1	1	1	1	1	1	1	16.6696491832589	20.6227775468956	16.9676979218381	1
ADCY4	1	1	1	1	1	1	1	163.247115766857	1	1	1	1	1	1
ADGRE2	1	1	51.91139573593	1	1	1	1	1	1	1	1	1	1	117.241806745876
ADGRF5	1	1	1	1	1	1	176.279909615815	412.658715925221	1	1	1	381.41658446287	1	1
ADGRG1	26.9087756488366	1	1	1	447.883903091103	1	1	127.81751948441	1	1	114.995557620921	73.573762345009	25.5909152067082	1
ADGRG5	1	1	1	1	43.6447718392999	1	1	1	1	37.4568832428201	1	1	14.8447464077136	1
ADGRL2	1	1	1	1	1	1	25.6181859285661	247.488841923438	14.5469950632308	1	1	1	1	1
ADGRL4	1	1	1	1	1	1	1	197.798298478155	1	1	1	1	1	1
ADH1B	1	1	1	1	1	1	163.124998495482	1	1393.65226147719	1	1	1	1	1
ADHFE1	1	1	1	1	23.5192446735662	1	1	1	14.1887869759064	1	1	23.0559534600159	1	1
ADIRF	1	1	1	1	1	1	696.643030287603	373.608046067354	261.386714470138	1	1	169.954705931712	1	1
ADORA2B	1	1	12.064056776057	1	1	1	1	1	1	1	1	1	1	60.3505115690673
ADPRM	1	1	1	14.7344306052573	1	1	1	1	1	1	19.0198297642027	1	1	24.5599802036811
ADRB2	37.9156861161657	1	25.170865355221	23.9169892140886	130.756388937108	13.8833655180584	1	43.8466952430149	1	40.1296138930092	1	14.9881424364231	1	493.588472721722
ADTRP	1	44.3558537653886	1	1	1	1	1	1	1	1	32.0706305773429	1	1	1
AEBP1	1	1	1	1	1	1	401.707469746902	27.1575987601284	844.551603580546	1	1	1	1	1
AF213884.3	1	1	47.9905155926886	1	18.4465761936488	1	1	1	1	1	1	1	1	1
AFAP1L1	1	1	1	1	1	1	1	108.823601584954	1	1	1	1	1	1
AFF3	1	1	14.4397472147404	1	1	95.9501068495795	1	38.288511978696	1	1	1	14.0035482324546	1	1
AGAP1	1	1	1	1	1	1	10.7059686794883	19.7163137556201	1	1	1	20.8412623971147	1	34.5658830501338
AGAP2	20.7742797523282	17.9441869629674	1	18.4589708400442	24.8258165928675	1	1	1	1	1	15.8768323090245	1	17.3970629041705	1
AGAP3	1	1	58.403482749193	1	1	1	1	54.7009034833257	21.344322998891	1	1	67.7855086719837	1	60.5137626494933
AGPAT5	18.651135937979	29.7507896729299	12.6525076331467	27.0167910854066	1	28.9508144779108	26.5855561411253	16.525611610253	1	14.7807264096168	98.010189153281	1	32.1201654460501	1
AGR2	1	1	1	1	1	1	1	1	1	1	1	544.093736409578	1	1
AGR3	1	1	1	1	1	1	1	1	1	1	1	137.066668250727	1	1
AGRN	1	1	1	1	1	1	25.4201228776807	79.2030593970916	21.3129601301198	1	1	303.263819014605	1	1
